time	V(v_y)	V(v_out)	V(v_x)	V(v_90)	V(v_0)
0.000000000000000e+00	-2.117786e-01	4.436592e-01	-4.661494e-04	2.226866e-01	2.226866e-01
9.999999999344301e-11	-2.117845e-01	4.436630e-01	-4.659262e-04	2.226866e-01	2.226866e-01
2.999999999938815e-10	-2.117964e-01	4.436707e-01	-4.654796e-04	2.226866e-01	2.226866e-01
6.999999999947586e-10	-2.118202e-01	4.436861e-01	-4.645865e-04	2.226866e-01	2.226866e-01
1.499999999996513e-09	-2.118676e-01	4.437168e-01	-4.628004e-04	2.226866e-01	2.226866e-01
2.499999999998706e-09	-2.119269e-01	4.437551e-01	-4.605678e-04	2.226866e-01	2.226866e-01
3.500000000000898e-09	-2.119861e-01	4.437931e-01	-4.583352e-04	2.226866e-01	2.226866e-01
4.500000000003091e-09	-2.120452e-01	4.438309e-01	-4.561028e-04	2.226866e-01	2.226866e-01
5.500000000005284e-09	-2.121043e-01	4.438686e-01	-4.538704e-04	2.226866e-01	2.226866e-01
6.500000000007476e-09	-2.121632e-01	4.439061e-01	-4.516382e-04	2.226866e-01	2.226866e-01
7.500000000009669e-09	-2.122221e-01	4.439434e-01	-4.494060e-04	2.226866e-01	2.226866e-01
8.500000000011862e-09	-2.122808e-01	4.439805e-01	-4.471739e-04	2.226866e-01	2.226866e-01
9.500000000014054e-09	-2.123395e-01	4.440174e-01	-4.449419e-04	2.226866e-01	2.226866e-01
1.050000000001625e-08	-2.123981e-01	4.440542e-01	-4.427099e-04	2.226866e-01	2.226866e-01
1.150000000001844e-08	-2.124566e-01	4.440908e-01	-4.404781e-04	2.226866e-01	2.226866e-01
1.250000000002063e-08	-2.125150e-01	4.441272e-01	-4.382463e-04	2.226866e-01	2.226866e-01
1.350000000002283e-08	-2.125733e-01	4.441634e-01	-4.360147e-04	2.226866e-01	2.226866e-01
1.450000000002502e-08	-2.126315e-01	4.441994e-01	-4.337831e-04	2.226866e-01	2.226866e-01
1.550000000002721e-08	-2.126897e-01	4.442353e-01	-4.315517e-04	2.226866e-01	2.226866e-01
1.650000000002940e-08	-2.127478e-01	4.442709e-01	-4.293203e-04	2.226866e-01	2.226866e-01
1.750000000003160e-08	-2.128057e-01	4.443064e-01	-4.270890e-04	2.226866e-01	2.226866e-01
1.850000000003379e-08	-2.128636e-01	4.443417e-01	-4.248578e-04	2.226866e-01	2.226866e-01
1.950000000003598e-08	-2.129214e-01	4.443768e-01	-4.226267e-04	2.226866e-01	2.226866e-01
2.050000000003817e-08	-2.129791e-01	4.444118e-01	-4.203957e-04	2.226866e-01	2.226866e-01
2.150000000004037e-08	-2.130367e-01	4.444465e-01	-4.181648e-04	2.226866e-01	2.226866e-01
2.250000000004256e-08	-2.130943e-01	4.444811e-01	-4.159340e-04	2.226866e-01	2.226866e-01
2.350000000004475e-08	-2.131517e-01	4.445155e-01	-4.137034e-04	2.226866e-01	2.226866e-01
2.450000000004695e-08	-2.132091e-01	4.445497e-01	-4.114727e-04	2.226866e-01	2.226866e-01
2.550000000004914e-08	-2.132664e-01	4.445837e-01	-4.092423e-04	2.226866e-01	2.226866e-01
2.650000000005133e-08	-2.133235e-01	4.446176e-01	-4.070119e-04	2.226866e-01	2.226866e-01
2.750000000005352e-08	-2.133806e-01	4.446512e-01	-4.047816e-04	2.226866e-01	2.226866e-01
2.850000000005572e-08	-2.134377e-01	4.446847e-01	-4.025514e-04	2.226866e-01	2.226866e-01
2.950000000005791e-08	-2.134946e-01	4.447180e-01	-4.003214e-04	2.226866e-01	2.226866e-01
3.050000000006010e-08	-2.135514e-01	4.447511e-01	-3.980914e-04	2.226866e-01	2.226866e-01
3.150000000006229e-08	-2.136082e-01	4.447841e-01	-3.958615e-04	2.226866e-01	2.226866e-01
3.250000000006449e-08	-2.136648e-01	4.448168e-01	-3.936318e-04	2.226866e-01	2.226866e-01
3.350000000006668e-08	-2.137214e-01	4.448494e-01	-3.914022e-04	2.226866e-01	2.226866e-01
3.450000000006887e-08	-2.137779e-01	4.448818e-01	-3.891727e-04	2.226866e-01	2.226866e-01
3.550000000007106e-08	-2.138343e-01	4.449140e-01	-3.869433e-04	2.226866e-01	2.226866e-01
3.650000000007326e-08	-2.138906e-01	4.449460e-01	-3.847140e-04	2.226866e-01	2.226866e-01
3.750000000007545e-08	-2.139468e-01	4.449779e-01	-3.824848e-04	2.226866e-01	2.226866e-01
3.850000000007764e-08	-2.140030e-01	4.450096e-01	-3.802557e-04	2.226866e-01	2.226866e-01
3.950000000007984e-08	-2.140590e-01	4.450410e-01	-3.780267e-04	2.226866e-01	2.226866e-01
4.050000000008203e-08	-2.141150e-01	4.450723e-01	-3.757979e-04	2.226866e-01	2.226866e-01
4.150000000008422e-08	-2.141708e-01	4.451034e-01	-3.735692e-04	2.226866e-01	2.226866e-01
4.250000000008641e-08	-2.142266e-01	4.451344e-01	-3.713406e-04	2.226866e-01	2.226866e-01
4.350000000008861e-08	-2.142823e-01	4.451651e-01	-3.691121e-04	2.226866e-01	2.226866e-01
4.450000000009080e-08	-2.143379e-01	4.451957e-01	-3.668838e-04	2.226866e-01	2.226866e-01
4.550000000009299e-08	-2.143934e-01	4.452261e-01	-3.646555e-04	2.226866e-01	2.226866e-01
4.650000000009518e-08	-2.144489e-01	4.452563e-01	-3.624274e-04	2.226866e-01	2.226866e-01
4.750000000009738e-08	-2.145042e-01	4.452863e-01	-3.601995e-04	2.226866e-01	2.226866e-01
4.850000000009957e-08	-2.145595e-01	4.453162e-01	-3.579716e-04	2.226866e-01	2.226866e-01
4.950000000010176e-08	-2.146146e-01	4.453458e-01	-3.557438e-04	2.226866e-01	2.226866e-01
5.050000000010396e-08	-2.146697e-01	4.453753e-01	-3.535162e-04	2.226866e-01	2.226866e-01
5.150000000010615e-08	-2.147247e-01	4.454046e-01	-3.512888e-04	2.226866e-01	2.226866e-01
5.250000000010834e-08	-2.147796e-01	4.454338e-01	-3.490614e-04	2.226866e-01	2.226866e-01
5.350000000011053e-08	-2.148344e-01	4.454627e-01	-3.468342e-04	2.226866e-01	2.226866e-01
5.450000000011273e-08	-2.148892e-01	4.454914e-01	-3.446071e-04	2.226866e-01	2.226866e-01
5.550000000011492e-08	-2.149438e-01	4.455200e-01	-3.423801e-04	2.226866e-01	2.226866e-01
5.650000000011711e-08	-2.149983e-01	4.455484e-01	-3.401533e-04	2.226866e-01	2.226866e-01
5.750000000011930e-08	-2.150528e-01	4.455766e-01	-3.379266e-04	2.226866e-01	2.226866e-01
5.850000000012150e-08	-2.151072e-01	4.456047e-01	-3.357000e-04	2.226866e-01	2.226866e-01
5.950000000012369e-08	-2.151615e-01	4.456325e-01	-3.334736e-04	2.226866e-01	2.226866e-01
6.050000000012588e-08	-2.152157e-01	4.456602e-01	-3.312473e-04	2.226866e-01	2.226866e-01
6.150000000012808e-08	-2.152698e-01	4.456877e-01	-3.290211e-04	2.226866e-01	2.226866e-01
6.250000000013027e-08	-2.153238e-01	4.457150e-01	-3.267951e-04	2.226866e-01	2.226866e-01
6.350000000013246e-08	-2.153778e-01	4.457421e-01	-3.245692e-04	2.226866e-01	2.226866e-01
6.450000000013465e-08	-2.154316e-01	4.457690e-01	-3.223435e-04	2.226866e-01	2.226866e-01
6.550000000013685e-08	-2.154854e-01	4.457958e-01	-3.201179e-04	2.226866e-01	2.226866e-01
6.650000000013904e-08	-2.155390e-01	4.458224e-01	-3.178924e-04	2.226866e-01	2.226866e-01
6.750000000014123e-08	-2.155926e-01	4.458487e-01	-3.156671e-04	2.226866e-01	2.226866e-01
6.850000000014342e-08	-2.156461e-01	4.458750e-01	-3.134419e-04	2.226866e-01	2.226866e-01
6.950000000014562e-08	-2.156995e-01	4.459010e-01	-3.112169e-04	2.226866e-01	2.226866e-01
7.050000000014781e-08	-2.157529e-01	4.459268e-01	-3.089920e-04	2.226866e-01	2.226866e-01
7.150000000015000e-08	-2.158061e-01	4.459525e-01	-3.067672e-04	2.226866e-01	2.226866e-01
7.250000000015220e-08	-2.158592e-01	4.459780e-01	-3.045426e-04	2.226866e-01	2.226866e-01
7.350000000015439e-08	-2.159123e-01	4.460033e-01	-3.023182e-04	2.226866e-01	2.226866e-01
7.450000000015658e-08	-2.159653e-01	4.460284e-01	-3.000939e-04	2.226866e-01	2.226866e-01
7.550000000015877e-08	-2.160181e-01	4.460534e-01	-2.978697e-04	2.226866e-01	2.226866e-01
7.650000000016097e-08	-2.160709e-01	4.460782e-01	-2.956457e-04	2.226866e-01	2.226866e-01
7.750000000016316e-08	-2.161236e-01	4.461027e-01	-2.934219e-04	2.226866e-01	2.226866e-01
7.850000000016535e-08	-2.161762e-01	4.461271e-01	-2.911982e-04	2.226866e-01	2.226866e-01
7.950000000016754e-08	-2.162288e-01	4.461513e-01	-2.889746e-04	2.226866e-01	2.226866e-01
8.050000000016974e-08	-2.162812e-01	4.461754e-01	-2.867513e-04	2.226866e-01	2.226866e-01
8.150000000017193e-08	-2.163336e-01	4.461992e-01	-2.845280e-04	2.226866e-01	2.226866e-01
8.250000000017412e-08	-2.163858e-01	4.462229e-01	-2.823049e-04	2.226866e-01	2.226866e-01
8.350000000017632e-08	-2.164380e-01	4.462464e-01	-2.800820e-04	2.226866e-01	2.226866e-01
8.450000000017851e-08	-2.164901e-01	4.462697e-01	-2.778592e-04	2.226866e-01	2.226866e-01
8.550000000018070e-08	-2.165421e-01	4.462928e-01	-2.756366e-04	2.226866e-01	2.226866e-01
8.650000000018289e-08	-2.165940e-01	4.463158e-01	-2.734142e-04	2.226866e-01	2.226866e-01
8.750000000018509e-08	-2.166458e-01	4.463386e-01	-2.711919e-04	2.226866e-01	2.226866e-01
8.850000000018728e-08	-2.166975e-01	4.463612e-01	-2.689698e-04	2.226866e-01	2.226866e-01
8.950000000018947e-08	-2.167492e-01	4.463835e-01	-2.667478e-04	2.226866e-01	2.226866e-01
9.050000000019166e-08	-2.168007e-01	4.464058e-01	-2.645260e-04	2.226866e-01	2.226866e-01
9.150000000019386e-08	-2.168522e-01	4.464278e-01	-2.623044e-04	2.226866e-01	2.226866e-01
9.250000000019605e-08	-2.169036e-01	4.464497e-01	-2.600829e-04	2.226866e-01	2.226866e-01
9.350000000019824e-08	-2.169549e-01	4.464714e-01	-2.578616e-04	2.226866e-01	2.226866e-01
9.450000000020043e-08	-2.170061e-01	4.464929e-01	-2.556405e-04	2.226866e-01	2.226866e-01
9.550000000020263e-08	-2.170572e-01	4.465142e-01	-2.534195e-04	2.226866e-01	2.226866e-01
9.650000000020482e-08	-2.171082e-01	4.465353e-01	-2.511987e-04	2.226866e-01	2.226866e-01
9.750000000020701e-08	-2.171592e-01	4.465563e-01	-2.489781e-04	2.226866e-01	2.226866e-01
9.850000000020921e-08	-2.172100e-01	4.465770e-01	-2.467576e-04	2.226866e-01	2.226866e-01
9.950000000021140e-08	-2.172608e-01	4.465976e-01	-2.445373e-04	2.226866e-01	2.226866e-01
1.005000000002136e-07	-2.173115e-01	4.466181e-01	-2.423172e-04	2.226866e-01	2.226866e-01
1.015000000002158e-07	-2.173620e-01	4.466383e-01	-2.400972e-04	2.226866e-01	2.226866e-01
1.025000000002180e-07	-2.174125e-01	4.466583e-01	-2.378775e-04	2.226866e-01	2.226866e-01
1.035000000002202e-07	-2.174629e-01	4.466782e-01	-2.356579e-04	2.226866e-01	2.226866e-01
1.045000000002224e-07	-2.175133e-01	4.466979e-01	-2.334384e-04	2.226866e-01	2.226866e-01
1.055000000002246e-07	-2.175635e-01	4.467174e-01	-2.312192e-04	2.226866e-01	2.226866e-01
1.065000000002267e-07	-2.176136e-01	4.467367e-01	-2.290001e-04	2.226866e-01	2.226866e-01
1.075000000002289e-07	-2.176637e-01	4.467559e-01	-2.267812e-04	2.226866e-01	2.226866e-01
1.085000000002311e-07	-2.177137e-01	4.467748e-01	-2.245625e-04	2.226866e-01	2.226866e-01
1.095000000002333e-07	-2.177635e-01	4.467936e-01	-2.223440e-04	2.226866e-01	2.226866e-01
1.105000000002355e-07	-2.178133e-01	4.468122e-01	-2.201256e-04	2.226866e-01	2.226866e-01
1.115000000002377e-07	-2.178630e-01	4.468306e-01	-2.179075e-04	2.226866e-01	2.226866e-01
1.125000000002399e-07	-2.179126e-01	4.468489e-01	-2.156895e-04	2.226866e-01	2.226866e-01
1.135000000002421e-07	-2.179622e-01	4.468669e-01	-2.134717e-04	2.226866e-01	2.226866e-01
1.145000000002443e-07	-2.180116e-01	4.468848e-01	-2.112541e-04	2.226866e-01	2.226866e-01
1.155000000002465e-07	-2.180609e-01	4.469025e-01	-2.090366e-04	2.226866e-01	2.226866e-01
1.165000000002487e-07	-2.181102e-01	4.469200e-01	-2.068194e-04	2.226866e-01	2.226866e-01
