time	V(v_y)	V(v_out)	V(v_x)	V(v_90)	V(v_0)
0.000000000000000e+00	-6.070793e-01	-1.052183e-02	-5.680915e-04	2.226866e-01	2.226866e-01
9.999999999344301e-11	-6.069916e-01	-1.051738e-02	-5.680924e-04	2.226866e-01	2.226866e-01
2.999999999938815e-10	-6.068162e-01	-1.050848e-02	-5.680942e-04	2.226866e-01	2.226866e-01
6.999999999947586e-10	-6.064653e-01	-1.049069e-02	-5.680978e-04	2.226866e-01	2.226866e-01
1.499999999996513e-09	-6.057634e-01	-1.045510e-02	-5.681049e-04	2.226866e-01	2.226866e-01
2.499999999998706e-09	-6.048860e-01	-1.041060e-02	-5.681136e-04	2.226866e-01	2.226866e-01
3.500000000000898e-09	-6.040084e-01	-1.036611e-02	-5.681221e-04	2.226866e-01	2.226866e-01
4.500000000003091e-09	-6.031307e-01	-1.032161e-02	-5.681303e-04	2.226866e-01	2.226866e-01
5.500000000005284e-09	-6.022528e-01	-1.027710e-02	-5.681384e-04	2.226866e-01	2.226866e-01
6.500000000007476e-09	-6.013749e-01	-1.023259e-02	-5.681461e-04	2.226866e-01	2.226866e-01
7.500000000009669e-09	-6.004968e-01	-1.018808e-02	-5.681537e-04	2.226866e-01	2.226866e-01
8.500000000011862e-09	-5.996185e-01	-1.014357e-02	-5.681610e-04	2.226866e-01	2.226866e-01
9.500000000014054e-09	-5.987401e-01	-1.009905e-02	-5.681681e-04	2.226866e-01	2.226866e-01
1.050000000001625e-08	-5.978616e-01	-1.005453e-02	-5.681750e-04	2.226866e-01	2.226866e-01
1.150000000001844e-08	-5.969830e-01	-1.001001e-02	-5.681816e-04	2.226866e-01	2.226866e-01
1.250000000002063e-08	-5.961042e-01	-9.965482e-03	-5.681881e-04	2.226866e-01	2.226866e-01
1.350000000002283e-08	-5.952253e-01	-9.920952e-03	-5.681943e-04	2.226866e-01	2.226866e-01
1.450000000002502e-08	-5.943462e-01	-9.876419e-03	-5.682002e-04	2.226866e-01	2.226866e-01
1.550000000002721e-08	-5.934671e-01	-9.831882e-03	-5.682060e-04	2.226866e-01	2.226866e-01
1.650000000002940e-08	-5.925877e-01	-9.787343e-03	-5.682114e-04	2.226866e-01	2.226866e-01
1.750000000003160e-08	-5.917083e-01	-9.742800e-03	-5.682167e-04	2.226866e-01	2.226866e-01
1.850000000003379e-08	-5.908287e-01	-9.698254e-03	-5.682218e-04	2.226866e-01	2.226866e-01
1.950000000003598e-08	-5.899490e-01	-9.653705e-03	-5.682266e-04	2.226866e-01	2.226866e-01
2.050000000003817e-08	-5.890692e-01	-9.609153e-03	-5.682312e-04	2.226866e-01	2.226866e-01
2.150000000004037e-08	-5.881892e-01	-9.564597e-03	-5.682356e-04	2.226866e-01	2.226866e-01
2.250000000004256e-08	-5.873091e-01	-9.520039e-03	-5.682397e-04	2.226866e-01	2.226866e-01
2.350000000004475e-08	-5.864289e-01	-9.475478e-03	-5.682436e-04	2.226866e-01	2.226866e-01
2.450000000004695e-08	-5.855486e-01	-9.430913e-03	-5.682473e-04	2.226866e-01	2.226866e-01
2.550000000004914e-08	-5.846681e-01	-9.386346e-03	-5.682507e-04	2.226866e-01	2.226866e-01
2.650000000005133e-08	-5.837875e-01	-9.341775e-03	-5.682540e-04	2.226866e-01	2.226866e-01
2.750000000005352e-08	-5.829068e-01	-9.297202e-03	-5.682569e-04	2.226866e-01	2.226866e-01
2.850000000005572e-08	-5.820259e-01	-9.252626e-03	-5.682597e-04	2.226866e-01	2.226866e-01
2.950000000005791e-08	-5.811449e-01	-9.208046e-03	-5.682623e-04	2.226866e-01	2.226866e-01
3.050000000006010e-08	-5.802638e-01	-9.163464e-03	-5.682646e-04	2.226866e-01	2.226866e-01
3.150000000006229e-08	-5.793826e-01	-9.118879e-03	-5.682667e-04	2.226866e-01	2.226866e-01
3.250000000006449e-08	-5.785012e-01	-9.074291e-03	-5.682685e-04	2.226866e-01	2.226866e-01
3.350000000006668e-08	-5.776197e-01	-9.029699e-03	-5.682702e-04	2.226866e-01	2.226866e-01
3.450000000006887e-08	-5.767381e-01	-8.985106e-03	-5.682716e-04	2.226866e-01	2.226866e-01
3.550000000007106e-08	-5.758564e-01	-8.940510e-03	-5.682728e-04	2.226866e-01	2.226866e-01
3.650000000007326e-08	-5.749745e-01	-8.895910e-03	-5.682737e-04	2.226866e-01	2.226866e-01
3.750000000007545e-08	-5.740926e-01	-8.851308e-03	-5.682744e-04	2.226866e-01	2.226866e-01
3.850000000007764e-08	-5.732105e-01	-8.806703e-03	-5.682749e-04	2.226866e-01	2.226866e-01
3.950000000007984e-08	-5.723282e-01	-8.762095e-03	-5.682752e-04	2.226866e-01	2.226866e-01
4.050000000008203e-08	-5.714459e-01	-8.717485e-03	-5.682752e-04	2.226866e-01	2.226866e-01
4.150000000008422e-08	-5.705634e-01	-8.672872e-03	-5.682750e-04	2.226866e-01	2.226866e-01
4.250000000008641e-08	-5.696808e-01	-8.628256e-03	-5.682746e-04	2.226866e-01	2.226866e-01
4.350000000008861e-08	-5.687981e-01	-8.583637e-03	-5.682740e-04	2.226866e-01	2.226866e-01
4.450000000009080e-08	-5.679153e-01	-8.539016e-03	-5.682731e-04	2.226866e-01	2.226866e-01
4.550000000009299e-08	-5.670323e-01	-8.494392e-03	-5.682720e-04	2.226866e-01	2.226866e-01
