time	V(v_y)	V(v_out)	V(v_x)	V(v_90)	V(v_0)
0.000000000000000e+00	-7.187237e-01	-3.714617e-02	-2.641827e-04	2.226866e-01	2.226866e-01
8.677026818956247e-11	-7.186495e-01	-3.714431e-02	-2.641983e-04	2.226866e-01	2.226866e-01
2.603108045686874e-10	-7.185012e-01	-3.714058e-02	-2.642294e-04	2.226866e-01	2.226866e-01
6.073918773269373e-10	-7.182047e-01	-3.713311e-02	-2.642916e-04	2.226866e-01	2.226866e-01
1.301554022843437e-09	-7.176114e-01	-3.711818e-02	-2.644159e-04	2.226866e-01	2.226866e-01
2.301554022845630e-09	-7.167567e-01	-3.709665e-02	-2.645949e-04	2.226866e-01	2.226866e-01
3.301554022847823e-09	-7.159017e-01	-3.707511e-02	-2.647737e-04	2.226866e-01	2.226866e-01
4.301554022850015e-09	-7.150466e-01	-3.705355e-02	-2.649525e-04	2.226866e-01	2.226866e-01
5.301554022852208e-09	-7.141914e-01	-3.703198e-02	-2.651312e-04	2.226866e-01	2.226866e-01
6.301554022854401e-09	-7.133359e-01	-3.701040e-02	-2.653097e-04	2.226866e-01	2.226866e-01
7.301554022856593e-09	-7.124802e-01	-3.698880e-02	-2.654881e-04	2.226866e-01	2.226866e-01
8.301554022858786e-09	-7.116244e-01	-3.696718e-02	-2.656665e-04	2.226866e-01	2.226866e-01
9.301554022860979e-09	-7.107683e-01	-3.694556e-02	-2.658447e-04	2.226866e-01	2.226866e-01
1.030155402286317e-08	-7.099121e-01	-3.692391e-02	-2.660227e-04	2.226866e-01	2.226866e-01
1.130155402286536e-08	-7.090557e-01	-3.690225e-02	-2.662007e-04	2.226866e-01	2.226866e-01
1.230155402286756e-08	-7.081991e-01	-3.688058e-02	-2.663786e-04	2.226866e-01	2.226866e-01
1.330155402286975e-08	-7.073424e-01	-3.685889e-02	-2.665564e-04	2.226866e-01	2.226866e-01
1.430155402287194e-08	-7.064855e-01	-3.683719e-02	-2.667340e-04	2.226866e-01	2.226866e-01
1.530155402287414e-08	-7.056283e-01	-3.681548e-02	-2.669116e-04	2.226866e-01	2.226866e-01
1.630155402287633e-08	-7.047710e-01	-3.679375e-02	-2.670890e-04	2.226866e-01	2.226866e-01
1.730155402287852e-08	-7.039136e-01	-3.677200e-02	-2.672664e-04	2.226866e-01	2.226866e-01
1.830155402288071e-08	-7.030559e-01	-3.675024e-02	-2.674435e-04	2.226866e-01	2.226866e-01
1.930155402288291e-08	-7.021981e-01	-3.672846e-02	-2.676206e-04	2.226866e-01	2.226866e-01
2.030155402288510e-08	-7.013401e-01	-3.670668e-02	-2.677976e-04	2.226866e-01	2.226866e-01
2.130155402288729e-08	-7.004819e-01	-3.668487e-02	-2.679745e-04	2.226866e-01	2.226866e-01
2.230155402288948e-08	-6.996235e-01	-3.666306e-02	-2.681513e-04	2.226866e-01	2.226866e-01
2.330155402289168e-08	-6.987650e-01	-3.664123e-02	-2.683279e-04	2.226866e-01	2.226866e-01
2.430155402289387e-08	-6.979063e-01	-3.661938e-02	-2.685045e-04	2.226866e-01	2.226866e-01
2.530155402289606e-08	-6.970474e-01	-3.659752e-02	-2.686809e-04	2.226866e-01	2.226866e-01
2.630155402289825e-08	-6.961883e-01	-3.657564e-02	-2.688572e-04	2.226866e-01	2.226866e-01
2.730155402290045e-08	-6.953291e-01	-3.655375e-02	-2.690334e-04	2.226866e-01	2.226866e-01
2.830155402290264e-08	-6.944696e-01	-3.653185e-02	-2.692095e-04	2.226866e-01	2.226866e-01
2.930155402290483e-08	-6.936101e-01	-3.650993e-02	-2.693855e-04	2.226866e-01	2.226866e-01
3.030155402290703e-08	-6.927503e-01	-3.648800e-02	-2.695613e-04	2.226866e-01	2.226866e-01
