time	V(v_y)	V(v_out)	V(v_x)	V(v_90)	V(v_0)
0.000000000000000e+00	-4.276045e-01	2.151199e-01	-3.802401e-04	2.226866e-01	2.226866e-01
9.999999999344301e-11	-4.275641e-01	2.151242e-01	-3.801265e-04	2.226866e-01	2.226866e-01
2.999999999938815e-10	-4.274834e-01	2.151329e-01	-3.798992e-04	2.226866e-01	2.226866e-01
6.999999999947586e-10	-4.273218e-01	2.151503e-01	-3.794448e-04	2.226866e-01	2.226866e-01
1.499999999996513e-09	-4.269987e-01	2.151850e-01	-3.785359e-04	2.226866e-01	2.226866e-01
2.499999999998706e-09	-4.265947e-01	2.152283e-01	-3.773997e-04	2.226866e-01	2.226866e-01
3.500000000000898e-09	-4.261906e-01	2.152715e-01	-3.762635e-04	2.226866e-01	2.226866e-01
4.500000000003091e-09	-4.257863e-01	2.153146e-01	-3.751274e-04	2.226866e-01	2.226866e-01
5.500000000005284e-09	-4.253820e-01	2.153577e-01	-3.739912e-04	2.226866e-01	2.226866e-01
6.500000000007476e-09	-4.249775e-01	2.154006e-01	-3.728550e-04	2.226866e-01	2.226866e-01
7.500000000009669e-09	-4.245729e-01	2.154435e-01	-3.717188e-04	2.226866e-01	2.226866e-01
8.500000000011862e-09	-4.241682e-01	2.154862e-01	-3.705826e-04	2.226866e-01	2.226866e-01
9.500000000014054e-09	-4.237633e-01	2.155289e-01	-3.694464e-04	2.226866e-01	2.226866e-01
1.050000000001625e-08	-4.233584e-01	2.155715e-01	-3.683102e-04	2.226866e-01	2.226866e-01
1.150000000001844e-08	-4.229533e-01	2.156140e-01	-3.671740e-04	2.226866e-01	2.226866e-01
1.250000000002063e-08	-4.225481e-01	2.156564e-01	-3.660378e-04	2.226866e-01	2.226866e-01
1.350000000002283e-08	-4.221428e-01	2.156988e-01	-3.649016e-04	2.226866e-01	2.226866e-01
1.450000000002502e-08	-4.217374e-01	2.157410e-01	-3.637653e-04	2.226866e-01	2.226866e-01
1.550000000002721e-08	-4.213318e-01	2.157831e-01	-3.626291e-04	2.226866e-01	2.226866e-01
1.650000000002940e-08	-4.209262e-01	2.158252e-01	-3.614929e-04	2.226866e-01	2.226866e-01
1.750000000003160e-08	-4.205204e-01	2.158672e-01	-3.603566e-04	2.226866e-01	2.226866e-01
1.850000000003379e-08	-4.201145e-01	2.159090e-01	-3.592204e-04	2.226866e-01	2.226866e-01
1.950000000003598e-08	-4.197084e-01	2.159508e-01	-3.580842e-04	2.226866e-01	2.226866e-01
2.050000000003817e-08	-4.193023e-01	2.159925e-01	-3.569479e-04	2.226866e-01	2.226866e-01
2.150000000004037e-08	-4.188960e-01	2.160341e-01	-3.558117e-04	2.226866e-01	2.226866e-01
